time	V(out)
1.525864999937768e-003	2.797936e-001
1.541489999937768e-003	4.459133e-001
1.557114999937768e-003	6.077368e-001
1.580552499937768e-003	8.390224e-001
1.603989999937768e-003	1.052142e+000
1.627427499937768e-003	1.242483e+000
1.650864999937768e-003	1.405926e+000
1.674302499937768e-003	1.538936e+000
1.697739999937768e-003	1.638634e+000
1.721177499937768e-003	1.702865e+000
1.744614999937768e-003	1.730240e+000
1.768052499937768e-003	1.720166e+000
1.791489999937768e-003	1.672863e+000
1.814927499937768e-003	1.589353e+000
1.838364999937768e-003	1.471444e+000
1.861802499937768e-003	1.321686e+000
1.885239999937768e-003	1.143321e+000
1.908677499937768e-003	9.402081e-001
1.932114999937768e-003	7.167428e-001
1.947739999937768e-003	5.588325e-001
1.963364999937768e-003	3.955401e-001
1.978989999937768e-003	2.284382e-001
1.994614999937768e-003	5.913668e-002
2.010239999937768e-003	-1.107368e-001
2.025864999937768e-003	-2.795435e-001
2.041489999937768e-003	-4.456581e-001
2.057114999937768e-003	-6.074811e-001
2.080552499937768e-003	-8.387744e-001
2.103989999937768e-003	-1.051911e+000
2.127427499937768e-003	-1.242278e+000
2.150864999937768e-003	-1.405754e+000
2.174302499937768e-003	-1.538800e+000
2.197739999937768e-003	-1.638536e+000
2.221177499937768e-003	-1.702802e+000
2.244614999937768e-003	-1.730207e+000
2.268052499937768e-003	-1.720155e+000
2.291489999937768e-003	-1.672862e+000
2.314927499937768e-003	-1.589352e+000
2.338364999937768e-003	-1.471430e+000
2.361802499937768e-003	-1.321649e+000
2.385239999937768e-003	-1.143253e+000
2.408677499937768e-003	-9.401038e-001
2.432114999937768e-003	-7.166003e-001
2.447739999937768e-003	-5.586652e-001
2.463364999937768e-003	-3.953496e-001
2.478989999937769e-003	-2.282263e-001
2.494614999937769e-003	-5.890511e-002
2.510239999937769e-003	1.109801e-001
2.525864999937769e-003	2.797959e-001
2.541489999937769e-003	4.459156e-001
2.557114999937769e-003	6.077391e-001
2.580552499937769e-003	8.390247e-001
2.603989999937769e-003	1.052144e+000
2.627427499937769e-003	1.242485e+000
2.650864999937769e-003	1.405928e+000
2.674302499937769e-003	1.538938e+000
2.697739999937769e-003	1.638637e+000
2.721177499937769e-003	1.702868e+000
2.744614999937769e-003	1.730242e+000
2.768052499937769e-003	1.720169e+000
2.791489999937769e-003	1.672865e+000
2.814927499937769e-003	1.589355e+000
2.838364999937769e-003	1.471446e+000
2.861802499937769e-003	1.321689e+000
2.885239999937769e-003	1.143323e+000
2.908677499937769e-003	9.402104e-001
2.932114999937769e-003	7.167451e-001
2.947739999937769e-003	5.588348e-001
2.963364999937769e-003	3.955424e-001
2.978989999937769e-003	2.284405e-001
2.994614999937769e-003	5.913896e-002
3.010239999937769e-003	-1.107345e-001
3.025864999937769e-003	-2.795413e-001
3.041489999937769e-003	-4.456559e-001
3.057114999937769e-003	-6.074788e-001
3.080552499937769e-003	-8.387721e-001
3.103989999937769e-003	-1.051909e+000
3.127427499937769e-003	-1.242276e+000
3.150864999937769e-003	-1.405751e+000
3.174302499937769e-003	-1.538797e+000
3.197739999937769e-003	-1.638534e+000
3.221177499937769e-003	-1.702800e+000
3.244614999937769e-003	-1.730205e+000
3.268052499937769e-003	-1.720152e+000
3.291489999937769e-003	-1.672860e+000
3.314927499937769e-003	-1.589349e+000
3.338364999937769e-003	-1.471428e+000
3.361802499937769e-003	-1.321647e+000
3.385239999937769e-003	-1.143251e+000
3.408677499937769e-003	-9.401015e-001
3.432114999937769e-003	-7.165980e-001
3.447739999937769e-003	-5.586630e-001
3.463364999937769e-003	-3.953473e-001
3.478989999937769e-003	-2.282241e-001
3.494614999937769e-003	-5.890284e-002
3.510239999937769e-003	1.109824e-001
3.525864999937769e-003	2.797982e-001
3.541489999937769e-003	4.459179e-001
3.557114999937769e-003	6.077414e-001
3.580552499937769e-003	8.390269e-001
3.603989999937770e-003	1.052146e+000
3.627427499937770e-003	1.242487e+000
3.650864999937770e-003	1.405931e+000
3.674302499937770e-003	1.538940e+000
3.697739999937770e-003	1.638639e+000
3.721177499937770e-003	1.702870e+000
3.744614999937770e-003	1.730245e+000
3.768052499937770e-003	1.720171e+000
3.791489999937770e-003	1.672868e+000
3.814927499937770e-003	1.589358e+000
3.838364999937770e-003	1.471448e+000
3.861802499937770e-003	1.321691e+000
3.885239999937770e-003	1.143326e+000
3.908677499937769e-003	9.402127e-001
3.932114999937769e-003	7.167474e-001
3.947739999937769e-003	5.588371e-001
3.963364999937769e-003	3.955446e-001
3.978989999937769e-003	2.284428e-001
3.994614999937769e-003	5.914123e-002
4.010239999937769e-003	-1.107322e-001
4.025864999937769e-003	-2.795390e-001
4.041489999937769e-003	-4.456536e-001
4.057114999937769e-003	-6.074765e-001
4.080552499937769e-003	-8.387698e-001
4.103989999937770e-003	-1.051907e+000
4.127427499937770e-003	-1.242273e+000
4.150864999937770e-003	-1.405749e+000
4.174302499937770e-003	-1.538795e+000
4.197739999937770e-003	-1.638531e+000
4.221177499937770e-003	-1.702798e+000
4.244614999937770e-003	-1.730202e+000
4.268052499937770e-003	-1.720150e+000
4.291489999937770e-003	-1.672858e+000
4.314927499937770e-003	-1.589347e+000
4.338364999937770e-003	-1.471425e+000
4.361802499937770e-003	-1.321645e+000
4.385239999937770e-003	-1.143249e+000
4.408677499937770e-003	-9.400992e-001
4.432114999937770e-003	-7.165958e-001
4.447739999937770e-003	-5.586607e-001
4.463364999937770e-003	-3.953450e-001
4.478989999937770e-003	-2.282218e-001
4.494614999937770e-003	-5.890056e-002
4.510239999937770e-003	1.109847e-001
4.525864999937770e-003	2.798004e-001
4.541489999937770e-003	4.459201e-001
4.557114999937770e-003	6.077436e-001
4.580552499937770e-003	8.390292e-001
4.603989999937770e-003	1.052148e+000
4.627427499937770e-003	1.242489e+000
4.650864999937770e-003	1.405933e+000
4.674302499937770e-003	1.538942e+000
4.697739999937770e-003	1.638641e+000
4.721177499937770e-003	1.702872e+000
4.744614999937770e-003	1.730247e+000
4.768052499937770e-003	1.720173e+000
4.791489999937770e-003	1.672870e+000
4.814927499937770e-003	1.589360e+000
4.838364999937770e-003	1.471451e+000
4.861802499937770e-003	1.321693e+000
4.885239999937770e-003	1.143328e+000
4.908677499937770e-003	9.402150e-001
4.932114999937770e-003	7.167497e-001
4.947739999937770e-003	5.588394e-001
4.963364999937770e-003	3.955469e-001
4.978989999937770e-003	2.284451e-001
4.994614999937770e-003	5.914350e-002
5.010239999937770e-003	-1.107300e-001
5.025864999937770e-003	-2.795368e-001
5.041489999937770e-003	-4.456513e-001
5.057114999937770e-003	-6.074743e-001
5.080552499937770e-003	-8.387675e-001
5.103989999937770e-003	-1.051904e+000
5.127427499937770e-003	-1.242271e+000
5.150864999937770e-003	-1.405747e+000
5.174302499937770e-003	-1.538793e+000
5.197739999937770e-003	-1.638529e+000
5.221177499937771e-003	-1.702796e+000
5.244614999937771e-003	-1.730200e+000
5.268052499937771e-003	-1.720148e+000
5.291489999937771e-003	-1.672855e+000
5.314927499937771e-003	-1.589345e+000
5.338364999937771e-003	-1.471423e+000
5.361802499937771e-003	-1.321643e+000
5.385239999937771e-003	-1.143246e+000
5.408677499937771e-003	-9.400970e-001
5.432114999937771e-003	-7.165935e-001
5.447739999937771e-003	-5.586584e-001
5.463364999937771e-003	-3.953428e-001
5.478989999937771e-003	-2.282195e-001
5.494614999937771e-003	-5.889830e-002
5.510239999937771e-003	1.109869e-001
5.525864999937771e-003	2.798027e-001
5.541489999937771e-003	4.459224e-001
5.557114999937771e-003	6.077459e-001
5.580552499937771e-003	8.390315e-001
5.603989999937771e-003	1.052151e+000
5.627427499937771e-003	1.242492e+000
5.650864999937771e-003	1.405935e+000
5.674302499937771e-003	1.538945e+000
5.697739999937771e-003	1.638643e+000
5.721177499937771e-003	1.702875e+000
5.744614999937771e-003	1.730249e+000
5.768052499937771e-003	1.720176e+000
5.791489999937771e-003	1.672872e+000
5.814927499937771e-003	1.589362e+000
5.838364999937771e-003	1.471453e+000
5.861802499937771e-003	1.321695e+000
5.885239999937771e-003	1.143330e+000
5.908677499937771e-003	9.402173e-001
5.932114999937771e-003	7.167519e-001
5.947739999937771e-003	5.588416e-001
5.963364999937771e-003	3.955491e-001
5.978989999937771e-003	2.284473e-001
5.994614999937771e-003	5.914577e-002
6.010239999937771e-003	-1.107277e-001
6.025864999937771e-003	-2.795345e-001
6.041489999937771e-003	-4.456491e-001
6.057114999937771e-003	-6.074720e-001
6.080552499937771e-003	-8.387653e-001
6.103989999937771e-003	-1.051902e+000
6.127427499937771e-003	-1.242269e+000
6.150864999937771e-003	-1.405745e+000
6.174302499937771e-003	-1.538791e+000
6.197739999937771e-003	-1.638527e+000
6.221177499937771e-003	-1.702793e+000
6.244614999937771e-003	-1.730198e+000
6.268052499937771e-003	-1.720146e+000
6.291489999937771e-003	-1.672853e+000
6.314927499937771e-003	-1.589342e+000
6.338364999937772e-003	-1.471421e+000
6.361802499937772e-003	-1.321640e+000
6.385239999937772e-003	-1.143244e+000
6.408677499937772e-003	-9.400947e-001
6.432114999937772e-003	-7.165912e-001
6.447739999937772e-003	-5.586562e-001
6.463364999937772e-003	-3.953405e-001
6.478989999937772e-003	-2.282173e-001
6.494614999937772e-003	-5.889603e-002
6.510239999937772e-003	1.109892e-001
6.525864999937772e-003	2.798049e-001
6.541489999937772e-003	4.459247e-001
6.557114999937772e-003	6.077482e-001
6.580552499937772e-003	8.390337e-001
6.603989999937772e-003	1.052153e+000
6.627427499937772e-003	1.242494e+000
6.650864999937772e-003	1.405937e+000
6.674302499937772e-003	1.538947e+000
6.697739999937772e-003	1.638646e+000
6.721177499937772e-003	1.702877e+000
6.744614999937772e-003	1.730252e+000
6.768052499937772e-003	1.720178e+000
6.791489999937772e-003	1.672874e+000
6.814927499937772e-003	1.589364e+000
6.838364999937772e-003	1.471455e+000
6.861802499937772e-003	1.321698e+000
6.885239999937772e-003	1.143333e+000
6.908677499937772e-003	9.402195e-001
6.932114999937772e-003	7.167542e-001
6.947739999937772e-003	5.588439e-001
6.963364999937772e-003	3.955514e-001
6.978989999937772e-003	2.284496e-001
6.994614999937772e-003	5.914804e-002
7.010239999937772e-003	-1.107254e-001
7.025864999937772e-003	-2.795322e-001
7.041489999937772e-003	-4.456468e-001
7.057114999937772e-003	-6.074697e-001
7.080552499937772e-003	-8.387630e-001
7.103989999937772e-003	-1.051900e+000
7.127427499937772e-003	-1.242267e+000
7.150864999937772e-003	-1.405742e+000
7.174302499937772e-003	-1.538788e+000
7.197739999937772e-003	-1.638525e+000
7.221177499937772e-003	-1.702791e+000
7.244614999937772e-003	-1.730196e+000
7.268052499937772e-003	-1.720143e+000
7.291489999937772e-003	-1.672851e+000
7.314927499937772e-003	-1.589340e+000
7.338364999937772e-003	-1.471418e+000
7.361802499937772e-003	-1.321638e+000
7.385239999937772e-003	-1.143242e+000
7.408677499937772e-003	-9.400924e-001
7.432114999937772e-003	-7.165890e-001
7.447739999937772e-003	-5.586538e-001
7.463364999937772e-003	-3.953382e-001
7.478989999937773e-003	-2.282150e-001
7.494614999937773e-003	-5.889376e-002
7.510239999937773e-003	1.109915e-001
7.525864999937773e-003	2.798072e-001
7.541489999937773e-003	4.459270e-001
7.557114999937773e-003	6.077504e-001
7.580552499937773e-003	8.390360e-001
7.603989999937773e-003	1.052155e+000
7.627427499937773e-003	1.242496e+000
7.650864999937773e-003	1.405940e+000
7.674302499937773e-003	1.538949e+000
7.697739999937773e-003	1.638648e+000
7.721177499937773e-003	1.702879e+000
7.744614999937773e-003	1.730254e+000
7.768052499937773e-003	1.720180e+000
7.791489999937773e-003	1.672877e+000
7.814927499937773e-003	1.589367e+000
7.838364999937770e-003	1.471457e+000
7.861802499937768e-003	1.321700e+000
7.885239999937765e-003	1.143335e+000
7.908677499937762e-003	9.402218e-001
7.932114999937760e-003	7.167565e-001
7.947739999937758e-003	5.588462e-001
7.963364999937756e-003	3.955537e-001
7.978989999937755e-003	2.284519e-001
7.994614999937753e-003	5.915770e-002
8.000000000000000e-003	5.872363e-004
