Freq.	V(out)
1.20226443461741e+001	(-6.22256833087998e+000dB,1.86592265426250e+001°)
1.20503594037179e+001	(-6.21805214698428e+000dB,1.86898667489915e+001°)
1.20781383510678e+001	(-6.21352004975939e+000dB,1.87205181338215e+001°)
1.21059813355048e+001	(-6.20897199176291e+000dB,1.87511803999437e+001°)
1.21338885046497e+001	(-6.20440794605539e+000dB,1.87818532430816e+001°)
1.21618600064636e+001	(-6.19982786592660e+000dB,1.88125363610535e+001°)
1.21898959892486e+001	(-6.19523171769358e+000dB,1.88432294655810e+001°)
1.22179966016487e+001	(-6.19061946432401e+000dB,1.88739322412930e+001°)
1.22461619926504e+001	(-6.18599106839941e+000dB,1.89046443850868e+001°)
1.22743923115840e+001	(-6.18134649105693e+000dB,1.89353655990453e+001°)
1.23026877081238e+001	(-6.17668569817031e+000dB,1.89660955668644e+001°)
1.23310483322890e+001	(-6.17200864864237e+000dB,1.89968339884248e+001°)
1.23594743344450e+001	(-6.16731530655203e+000dB,1.90275805368809e+001°)
1.23879658653036e+001	(-6.16260563599486e+000dB,1.90583349172556e+001°)
1.24165230759240e+001	(-6.15787959904553e+000dB,1.90890967963901e+001°)
1.24451461177138e+001	(-6.15313715918342e+000dB,1.91198658667501e+001°)
1.24738351424294e+001	(-6.14837827752569e+000dB,1.91506418098584e+001°)
1.25025903021771e+001	(-6.14360291993381e+000dB,1.91814242890965e+001°)
1.25314117494141e+001	(-6.13881104931529e+000dB,1.92122130022607e+001°)
1.25602996369487e+001	(-6.13400262722003e+000dB,1.92430076104842e+001°)
1.25892541179416e+001	(-6.12917761669405e+000dB,1.92738078053766e+001°)
1.26182753459066e+001	(-6.12433598484676e+000dB,1.93046132263773e+001°)
1.26473634747114e+001	(-6.11947769134829e+000dB,1.93354235789066e+001°)
1.26765186585784e+001	(-6.11460270157199e+000dB,1.93662384920471e+001°)
1.27057410520853e+001	(-6.10971097870880e+000dB,1.93970576681747e+001°)
1.27350308101665e+001	(-6.10480248706950e+000dB,1.94278807601496e+001°)
1.27643880881134e+001	(-6.09987718914991e+000dB,1.94587074204486e+001°)
1.27938130415752e+001	(-6.09493505056269e+000dB,1.94895373078907e+001°)
1.28233058265601e+001	(-6.08997603315613e+000dB,1.95203701042661e+001°)
1.28528665994361e+001	(-6.08500010416178e+000dB,1.95512054286322e+001°)
1.28824955169313e+001	(-6.08000722582658e+000dB,1.95820429527135e+001°)
1.29121927361353e+001	(-6.07499736260385e+000dB,1.96128823385497e+001°)
1.29419584144998e+001	(-6.06997047856125e+000dB,1.96437232278761e+001°)
1.29717927098395e+001	(-6.06492654074620e+000dB,1.96745652778493e+001°)
1.30016957803328e+001	(-6.05986550904907e+000dB,1.97054081141614e+001°)
1.30316677845229e+001	(-6.05478734920505e+000dB,1.97362514031449e+001°)
1.30617088813183e+001	(-6.04969203030690e+000dB,1.97670947672517e+001°)
1.30918192299940e+001	(-6.04457951289909e+000dB,1.97979378821864e+001°)
1.31219989901920e+001	(-6.03944976387946e+000dB,1.98287803312553e+001°)
1.31522483219223e+001	(-6.03430274809396e+000dB,1.98596218125262e+001°)
1.31825673855640e+001	(-6.02913842835071e+000dB,1.98904619119899e+001°)
1.32129563418657e+001	(-6.02395677388619e+000dB,1.99213002902214e+001°)
1.32434153519466e+001	(-6.01875774649130e+000dB,1.99521365570201e+001°)
1.32739445772973e+001	(-6.01354131480965e+000dB,1.99829703884896e+001°)
1.33045441797808e+001	(-6.00830744186344e+000dB,2.00138013449837e+001°)
1.33352143216332e+001	(-6.00305609334421e+000dB,2.00446290848280e+001°)
1.33659551654643e+001	(-5.99778723867229e+000dB,2.00754532421689e+001°)
1.33967668742593e+001	(-5.99250084007848e+000dB,2.01062734286252e+001°)
1.34276496113785e+001	(-5.98719686388434e+000dB,2.01370892510083e+001°)
1.34586035405594e+001	(-5.98187527877895e+000dB,2.01679003487607e+001°)
1.34896288259164e+001	(-5.97653604707659e+000dB,2.01987062992086e+001°)
1.35207256319427e+001	(-5.97117913821840e+000dB,2.02295067651896e+001°)
1.35518941235103e+001	(-5.96580451730954e+000dB,2.02603013109027e+001°)
1.35831344658714e+001	(-5.96041215303555e+000dB,2.02910895867559e+001°)
1.36144468246594e+001	(-5.95500200928014e+000dB,2.03218711848168e+001°)
1.36458313658891e+001	(-5.94957405645221e+000dB,2.03526456801089e+001°)
1.36772882559584e+001	(-5.94412825969162e+000dB,2.03834127169729e+001°)
1.37088176616484e+001	(-5.93866458358247e+000dB,2.04141718871060e+001°)
1.37404197501251e+001	(-5.93318299846954e+000dB,2.04449227726179e+001°)
1.37720946889394e+001	(-5.92768347176885e+000dB,2.04756649891878e+001°)
1.38038426460287e+001	(-5.92216597167232e+000dB,2.05063981262026e+001°)
1.38356637897177e+001	(-5.91663046404217e+000dB,2.05371217713055e+001°)
1.38675582887188e+001	(-5.91107691683970e+000dB,2.05678355120595e+001°)
1.38995263121334e+001	(-5.90550530057948e+000dB,2.05985389462813e+001°)
1.39315680294529e+001	(-5.89991557933780e+000dB,2.06292316690782e+001°)
1.39636836105593e+001	(-5.89430772552465e+000dB,2.06599132451021e+001°)
1.39958732257261e+001	(-5.88868170368581e+000dB,2.06905832739715e+001°)
1.40281370456195e+001	(-5.88303748593512e+000dB,2.07212413322163e+001°)
1.40604752412990e+001	(-5.87737503774855e+000dB,2.07518869794052e+001°)
1.40928879842186e+001	(-5.87169433170336e+000dB,2.07825198332709e+001°)
1.41253754462274e+001	(-5.86599533391018e+000dB,2.08131394309807e+001°)
1.41579377995707e+001	(-5.86027801454400e+000dB,2.08437453603738e+001°)
1.41905752168908e+001	(-5.85454234308171e+000dB,2.08743371796386e+001°)
1.42232878712281e+001	(-5.84878828790164e+000dB,2.09049144847542e+001°)
1.42560759360218e+001	(-5.84301582056996e+000dB,2.09354768107442e+001°)
1.42889395851109e+001	(-5.83722490889882e+000dB,2.09660237465800e+001°)
1.43218789927353e+001	(-5.83141552629652e+000dB,2.09965548446413e+001°)
1.43548943335364e+001	(-5.82558764011678e+000dB,2.10270696553272e+001°)
1.43879857825583e+001	(-5.81974122008660e+000dB,2.10575677663564e+001°)
1.44211535152486e+001	(-5.81387623916003e+000dB,2.10880486866896e+001°)
1.44543977074592e+001	(-5.80799266589775e+000dB,2.11185120138463e+001°)
1.44877185354475e+001	(-5.80209047124609e+000dB,2.11489572872402e+001°)
1.45211161758773e+001	(-5.79616962915210e+000dB,2.11793840489659e+001°)
1.45545908058195e+001	(-5.79023010857966e+000dB,2.12097918508070e+001°)
1.45881426027534e+001	(-5.78427188009148e+000dB,2.12401802300231e+001°)
1.46217717445671e+001	(-5.77829491675998e+000dB,2.12705487525572e+001°)
1.46554784095590e+001	(-5.77229918832973e+000dB,2.13008969482793e+001°)
1.46892627764385e+001	(-5.76628466950316e+000dB,2.13312243457764e+001°)
1.47231250243271e+001	(-5.76025133336811e+000dB,2.13615304963934e+001°)
1.47570653327588e+001	(-5.75419914716036e+000dB,2.13918149180145e+001°)
1.47910838816819e+001	(-5.74812808800225e+000dB,2.14220771716353e+001°)
1.48251808514594e+001	(-5.74203812607836e+000dB,2.14523167684808e+001°)
1.48593564228699e+001	(-5.73592923615332e+000dB,2.14825332538693e+001°)
1.48936107771090e+001	(-5.72980139064179e+000dB,2.15127261216165e+001°)
1.49279440957898e+001	(-5.72365456189470e+000dB,2.15428949373764e+001°)
1.49623565609442e+001	(-5.71748872369405e+000dB,2.15730391979732e+001°)
1.49968483550236e+001	(-5.71130385088941e+000dB,2.16031584298748e+001°)
1.50314196609001e+001	(-5.70509991670448e+000dB,2.16332521596184e+001°)
1.50660706618673e+001	(-5.69887689568272e+000dB,2.16633198989168e+001°)
1.51008015416413e+001	(-5.69263476151418e+000dB,2.16933611525782e+001°)
1.51356124843619e+001	(-5.68637348918064e+000dB,2.17233754511084e+001°)
1.51705036745932e+001	(-5.68009305379327e+000dB,2.17533622846783e+001°)
1.52054752973248e+001	(-5.67379342993436e+000dB,2.17833211824293e+001°)
1.52405275379728e+001	(-5.66747459256008e+000dB,2.18132516293659e+001°)
1.52756605823806e+001	(-5.66113651738675e+000dB,2.18431531393516e+001°)
1.53108746168202e+001	(-5.65477917934784e+000dB,2.18730252240714e+001°)
1.53461698279928e+001	(-5.64840255623278e+000dB,2.19028673667241e+001°)
1.53815464030302e+001	(-5.64200662148141e+000dB,2.19326790793845e+001°)
1.54170045294954e+001	(-5.63559135420743e+000dB,2.19624598441685e+001°)
1.54525443953840e+001	(-5.62915672900279e+000dB,2.19922091581435e+001°)
1.54881661891247e+001	(-5.62270272372815e+000dB,2.20219265224934e+001°)
1.55238700995807e+001	(-5.61622931460358e+000dB,2.20516114116705e+001°)
1.55596563160506e+001	(-5.60973647994192e+000dB,2.20812633236042e+001°)
1.55955250282694e+001	(-5.60322419613315e+000dB,2.21108817287834e+001°)
1.56314764264094e+001	(-5.59669244147694e+000dB,2.21404661296441e+001°)
1.56675107010813e+001	(-5.59014119246913e+000dB,2.21700160104429e+001°)
