Freq.	V(out)
1.05925372517729e+001	(-8.22474393104952e+000dB,-1.62895434455204e+001°)
1.06169555719872e+001	(-8.22844291508364e+000dB,-1.63208019715987e+001°)
1.06414301822431e+001	(-8.23215570010974e+000dB,-1.63520815577393e+001°)
1.06659612123026e+001	(-8.23588232795059e+000dB,-1.63833819524616e+001°)
1.06905487922266e+001	(-8.23962283677320e+000dB,-1.64147029904858e+001°)
1.07151930523761e+001	(-8.24337726534641e+000dB,-1.64460444782295e+001°)
1.07398941234124e+001	(-8.24714564808100e+000dB,-1.64774062249910e+001°)
1.07646521362983e+001	(-8.25092803126103e+000dB,-1.65087879987033e+001°)
1.07894672222983e+001	(-8.25472444842171e+000dB,-1.65401896181008e+001°)
1.08143395129794e+001	(-8.25853494098085e+000dB,-1.65716108702711e+001°)
1.08392691402120e+001	(-8.26235954575638e+000dB,-1.66030515504970e+001°)
1.08642562361706e+001	(-8.26619830386577e+000dB,-1.66345114623033e+001°)
1.08893009333343e+001	(-8.27005125166636e+000dB,-1.66659903817827e+001°)
1.09144033644875e+001	(-8.27391842769274e+000dB,-1.66974881007711e+001°)
1.09395636627209e+001	(-8.27779987283203e+000dB,-1.67290044036970e+001°)
1.09647819614318e+001	(-8.28169562606388e+000dB,-1.67605390826138e+001°)
1.09900583943252e+001	(-8.28560572397509e+000dB,-1.67920919185124e+001°)
1.10153930954141e+001	(-8.28953020721659e+000dB,-1.68236627060780e+001°)
1.10407861990207e+001	(-8.29346911266250e+000dB,-1.68552512202138e+001°)
1.10662378397766e+001	(-8.29742247996250e+000dB,-1.68868572291877e+001°)
1.10917481526240e+001	(-8.30139034972438e+000dB,-1.69184805146154e+001°)
1.11173172728159e+001	(-8.30537275894193e+000dB,-1.69501208444595e+001°)
1.11429453359173e+001	(-8.30936974388679e+000dB,-1.69817780262013e+001°)
1.11686324778056e+001	(-8.31338134834593e+000dB,-1.70134518170803e+001°)
1.11943788346715e+001	(-8.31740760922529e+000dB,-1.70451419539010e+001°)
1.12201845430196e+001	(-8.32144856231228e+000dB,-1.70768482596140e+001°)
1.12460497396692e+001	(-8.32550424958745e+000dB,-1.71085704685666e+001°)
1.12719745617551e+001	(-8.32957471118375e+000dB,-1.71403083404758e+001°)
1.12979591467279e+001	(-8.33365998024036e+000dB,-1.71720616736567e+001°)
1.13240036323555e+001	(-8.33776009920405e+000dB,-1.72038302078129e+001°)
1.13501081567231e+001	(-8.34187510743302e+000dB,-1.72356137054814e+001°)
1.13762728582343e+001	(-8.34600504154418e+000dB,-1.72674119349074e+001°)
1.14024978756117e+001	(-8.35014994035227e+000dB,-1.72992246325872e+001°)
1.14287833478977e+001	(-8.35430984063223e+000dB,-1.73310516017341e+001°)
1.14551294144553e+001	(-8.35848478570655e+000dB,-1.73628925513037e+001°)
1.14815362149688e+001	(-8.36267481394168e+000dB,-1.73947472329997e+001°)
1.15080038894443e+001	(-8.36687995748387e+000dB,-1.74266154386968e+001°)
1.15345325782109e+001	(-8.37110026010843e+000dB,-1.74584968644665e+001°)
1.15611224219210e+001	(-8.37533575953592e+000dB,-1.74903913186241e+001°)
1.15877735615512e+001	(-8.37958649252695e+000dB,-1.75222984932050e+001°)
1.16144861384034e+001	(-8.38385249856677e+000dB,-1.75542181510902e+001°)
1.16412602941049e+001	(-8.38813381667824e+000dB,-1.75861500415885e+001°)
1.16680961706096e+001	(-8.39243048366055e+000dB,-1.76180939086514e+001°)
1.16949939101987e+001	(-8.39674253941934e+000dB,-1.76500494841050e+001°)
1.17219536554813e+001	(-8.40107002176247e+000dB,-1.76820164825960e+001°)
1.17489755493953e+001	(-8.40541296925177e+000dB,-1.77139946737034e+001°)
1.17760597352080e+001	(-8.40977141775340e+000dB,-1.77459837845243e+001°)
1.18032063565173e+001	(-8.41414540846628e+000dB,-1.77779835407181e+001°)
1.18304155572516e+001	(-8.41853497954986e+000dB,-1.78099936606943e+001°)
1.18576874816716e+001	(-8.42294016452844e+000dB,-1.78420139063796e+001°)
1.18850222743701e+001	(-8.42736100548329e+000dB,-1.78740439728772e+001°)
1.19124200802737e+001	(-8.43179754081825e+000dB,-1.79060835887896e+001°)
1.19398810446427e+001	(-8.43624980810057e+000dB,-1.79381324861557e+001°)
1.19674053130724e+001	(-8.44071784322995e+000dB,-1.79701903986489e+001°)
