Freq.	V(out)
3.01995172040201e+00	(2.46091300874037e+01dB,5.75856383936917e+01°)
3.09029543251359e+00	(2.47084255732105e+01dB,5.65126580829080e+01°)
3.16227766016837e+00	(2.48043563019223e+01dB,5.54514100411271e+01°)
3.23593656929628e+00	(2.48970000953971e+01dB,5.44022007960441e+01°)
3.31131121482591e+00	(2.49864354362312e+01dB,5.33653128493584e+01°)
3.38844156139202e+00	(2.50727412769489e+01dB,5.23410049799164e+01°)
3.46736850452531e+00	(2.51559968567045e+01dB,5.13295126150792e+01°)
3.54813389233575e+00	(2.52362815259146e+01dB,5.03310482658552e+01°)
3.63078054770101e+00	(2.53136745793567e+01dB,4.93458020191372e+01°)
3.71535229097172e+00	(2.53882550980451e+01dB,4.83739420816278e+01°)
3.80189396320560e+00	(2.54601018001535e+01dB,4.74156153696902e+01°)
3.89045144994280e+00	(2.55292929011811e+01dB,4.64709481391580e+01°)
3.98107170553496e+00	(2.55959059834782e+01dB,4.55400466496980e+01°)
4.07380277804112e+00	(2.56600178751332e+01dB,4.46229978583700e+01°)
4.16869383470335e+00	(2.57217045382377e+01dB,4.37198701370127e+01°)
4.26579518801592e+00	(2.57810409664077e+01dB,4.28307140085072e+01°)
4.36515832240165e+00	(2.58381010914283e+01dB,4.19555628972934e+01°)
4.46683592150962e+00	(2.58929576988225e+01dB,4.10944338895449e+01°)
4.57088189614874e+00	(2.59456823521242e+01dB,4.02473284990771e+01°)
4.67735141287197e+00	(2.59963453255631e+01dB,3.94142334345917e+01°)
4.78630092322637e+00	(2.60450155448735e+01dB,3.85951213654587e+01°)
4.89778819368445e+00	(2.60917605358934e+01dB,3.77899516821594e+01°)
5.01187233627271e+00	(2.61366463806056e+01dB,3.69986712485581e+01°)
5.12861383991364e+00	(2.61797376802494e+01dB,3.62212151437015e+01°)
5.24807460249771e+00	(2.62210975251422e+01dB,3.54575073903031e+01°)
5.37031796370252e+00	(2.62607874708106e+01dB,3.47074616680949e+01°)
5.49540873857623e+00	(2.62988675200693e+01dB,3.39709820100444e+01°)
5.62341325190348e+00	(2.63353961106097e+01dB,3.32479634804352e+01°)
5.75439937337156e+00	(2.63704301077869e+01dB,3.25382928324110e+01°)
5.88843655355588e+00	(2.64040248021667e+01dB,3.18418491452010e+01°)
6.02559586074356e+00	(2.64362339114864e+01dB,3.11585044390008e+01°)
6.16595001861481e+00	(2.64671095866698e+01dB,3.04881242677065e+01°)
6.30957344480192e+00	(2.64967024215361e+01dB,2.98305682884063e+01°)
6.45654229034654e+00	(2.65250614658729e+01dB,2.91856908076449e+01°)
6.60693448007594e+00	(2.65522342415426e+01dB,2.85533413042488e+01°)
