Freq.	V(out)
2.57039578276886e+00	(1.00602115854938e+02dB,-3.82822831768746e+01°)
2.63026799189538e+00	(1.00530043178448e+02dB,-3.79146620685079e+01°)
2.69153480392691e+00	(1.00459876862296e+02dB,-3.75522001059439e+01°)
2.75422870333816e+00	(1.00391584647242e+02dB,-3.71952935522842e+01°)
2.81838293126445e+00	(1.00325132385963e+02dB,-3.68443280698817e+01°)
2.88403150312660e+00	(1.00260484149080e+02dB,-3.64996783457652e+01°)
2.95120922666638e+00	(1.00197602332827e+02dB,-3.61617077724554e+01°)
3.01995172040201e+00	(1.00136447767437e+02dB,-3.58307681836520e+01°)
3.09029543251359e+00	(1.00076979825530e+02dB,-3.55071996439360e+01°)
3.16227766016837e+00	(1.00019156529828e+02dB,-3.51913302911749e+01°)
3.23593656929628e+00	(9.99629346595930e+01dB,-3.48834762299601e+01°)
3.31131121482591e+00	(9.99082698550177e+01dB,-3.45839414739069e+01°)
3.38844156139202e+00	(9.98551167191890e+01dB,-3.42930179345633e+01°)
3.46736850452531e+00	(9.98034289170015e+01dB,-3.40109854541144e+01°)
3.54813389233575e+00	(9.97531592704763e+01dB,-3.37381118790012e+01°)
3.63078054770101e+00	(9.97042598503194e+01dB,-3.34746531714522e+01°)
3.71535229097172e+00	(9.96566820630260e+01dB,-3.32208535554329e+01°)
3.80189396320560e+00	(9.96103767335236e+01dB,-3.29769456938775e+01°)
3.89045144994280e+00	(9.95652941829139e+01dB,-3.27431508936026e+01°)
3.98107170553496e+00	(9.95213843012252e+01dB,-3.25196793344734e+01°)
4.07380277804112e+00	(9.94785966149316e+01dB,-3.23067303192997e+01°)
4.16869383470335e+00	(9.94368803492529e+01dB,-3.21044925410367e+01°)
4.26579518801592e+00	(9.93961844850563e+01dB,-3.19131443638052e+01°)
4.36515832240165e+00	(9.93564578105199e+01dB,-3.17328541145436e+01°)
4.46683592150962e+00	(9.93176489674069e+01dB,-3.15637803818778e+01°)
4.57088189614874e+00	(9.92797064921318e+01dB,-3.14060723191692e+01°)
4.67735141287197e+00	(9.92425788517817e+01dB,-3.12598699488985e+01°)
4.78630092322637e+00	(9.92062144751084e+01dB,-3.11253044653397e+01°)
4.89778819368445e+00	(9.91705617786667e+01dB,-3.10024985328570e+01°)
5.01187233627271e+00	(9.91355691884401e+01dB,-3.08915665775166e+01°)
5.12861383991364e+00	(9.91011851570567e+01dB,-3.07926150694944e+01°)
5.24807460249771e+00	(9.90673581768264e+01dB,-3.07057427940877e+01°)
5.37031796370252e+00	(9.90340367888084e+01dB,-3.06310411092403e+01°)
5.49540873857623e+00	(9.90011695885131e+01dB,-3.05685941882444e+01°)
5.62341325190348e+00	(9.89687052280135e+01dB,-3.05184792452016e+01°)
5.75439937337156e+00	(9.89365924151128e+01dB,-3.04807667422249e+01°)
5.88843655355588e+00	(9.89047799098271e+01dB,-3.04555205770453e+01°)
6.02559586074356e+00	(9.88732165183920e+01dB,-3.04427982496311e+01°)
6.16595001861481e+00	(9.88418510852744e+01dB,-3.04426510071186e+01°)
6.30957344480192e+00	(9.88106324833359e+01dB,-3.04551239658767e+01°)
6.45654229034654e+00	(9.87795096026101e+01dB,-3.04802562102679e+01°)
6.60693448007594e+00	(9.87484313379164e+01dB,-3.05180808673311e+01°)
6.76082975391980e+00	(9.87173465759110e+01dB,-3.05686251575182e+01°)
6.91830970918935e+00	(9.86862041814933e+01dB,-3.06319104204668e+01°)
7.07945784384136e+00	(9.86549529842510e+01dB,-3.07079521163388e+01°)
7.24435960074988e+00	(9.86235417651442e+01dB,-3.07967598025537e+01°)
7.41310241300916e+00	(9.85919192438902e+01dB,-3.08983370863682e+01°)
7.58577575029182e+00	(9.85600340670851e+01dB,-3.10126815530364e+01°)
7.76247116628690e+00	(9.85278347977240e+01dB,-3.11397846707373e+01°)
7.94328234724279e+00	(9.84952699064162e+01dB,-3.12796316728748e+01°)
8.12830516164097e+00	(9.84622877643430e+01dB,-3.14322014179783e+01°)
8.31763771102669e+00	(9.84288366385464e+01dB,-3.15974662287024e+01°)
8.51138038202374e+00	(9.83948646899267e+01dB,-3.17753917112897e+01°)
8.70963589956078e+00	(9.83603199738358e+01dB,-3.19659365557699e+01°)
8.91250938133743e+00	(9.83251504441666e+01dB,-3.21690523197977e+01°)
9.12010839355907e+00	(9.82893039605823e+01dB,-3.23846831962070e+01°)
9.33254300796988e+00	(9.82527282998741e+01dB,-3.26127657678877e+01°)
9.54992586021433e+00	(9.82153711708099e+01dB,-3.28532287496401e+01°)
9.77237220955808e+00	(9.81771802338380e+01dB,-3.31059927221306e+01°)
9.99999999999997e+00	(9.81381031245873e+01dB,-3.33709698568111e+01°)
1.02329299228075e+01	(9.80980874825659e+01dB,-3.36480636375955e+01°)
1.04712854805090e+01	(9.80570809843651e+01dB,-3.39371685795495e+01°)
1.07151930523760e+01	(9.80150313820197e+01dB,-3.42381699488148e+01°)
1.09647819614318e+01	(9.79718865462711e+01dB,-3.45509434856622e+01°)
1.12201845430196e+01	(9.79275945151495e+01dB,-3.48753551347880e+01°)
1.14815362149688e+01	(9.78821035476800e+01dB,-3.52112607853206e+01°)
1.17489755493953e+01	(9.78353621827789e+01dB,-3.55585060240870e+01°)
1.20226443461741e+01	(9.77873193033024e+01dB,-3.59169259055230e+01°)
1.23026877081238e+01	(9.77379242050869e+01dB,-3.62863447414607e+01°)
1.25892541179416e+01	(9.76871266711740e+01dB,-3.66665759154117e+01°)
1.28824955169313e+01	(9.76348770503124e+01dB,-3.70574217223826e+01°)
