time	V(out)
2.535230837560350e-004	1.733029e+000
2.613355837560350e-004	1.729449e+000
2.691480837560350e-004	1.721702e+000
2.769605837560350e-004	1.709808e+000
2.847730837560350e-004	1.693795e+000
2.925855837560350e-004	1.673701e+000
3.003980837560351e-004	1.649575e+000
3.082105837560351e-004	1.621475e+000
3.160230837560351e-004	1.589469e+000
3.238355837560351e-004	1.553634e+000
3.316480837560351e-004	1.514056e+000
3.394605837560351e-004	1.470831e+000
3.472730837560351e-004	1.424062e+000
3.550855837560351e-004	1.373862e+000
3.628980837560351e-004	1.320353e+000
3.707105837560351e-004	1.263663e+000
3.785230837560351e-004	1.203929e+000
3.863355837560351e-004	1.141294e+000
3.941480837560351e-004	1.075910e+000
4.019605837560351e-004	1.007934e+000
4.097730837560351e-004	9.375299e-001
4.175855837560352e-004	8.648671e-001
4.253980837560352e-004	7.901207e-001
4.332105837560352e-004	7.134708e-001
4.410230837560352e-004	6.351022e-001
4.488355837560352e-004	5.552035e-001
4.566480837560352e-004	4.739673e-001
4.644605837560352e-004	3.915892e-001
4.722730837560352e-004	3.082677e-001
4.800855837560352e-004	2.242036e-001
4.878980837560352e-004	1.395993e-001
4.957105837560352e-004	5.465866e-002
5.035230837560352e-004	-3.041366e-002
5.113355837560352e-004	-1.154127e-001
5.191480837560352e-004	-2.001338e-001
5.269605837560352e-004	-2.843727e-001
5.347730837560352e-004	-3.679266e-001
5.425855837560352e-004	-4.505942e-001
5.503980837560352e-004	-5.321762e-001
5.582105837560352e-004	-6.124762e-001
5.660230837560352e-004	-6.913007e-001
5.738355837560352e-004	-7.684598e-001
5.816480837560352e-004	-8.437676e-001
5.894605837560353e-004	-9.170427e-001
5.972730837560353e-004	-9.881086e-001
6.050855837560353e-004	-1.056794e+000
6.128980837560353e-004	-1.122934e+000
6.207105837560353e-004	-1.186368e+000
6.285230837560353e-004	-1.246944e+000
6.363355837560353e-004	-1.304516e+000
6.441480837560353e-004	-1.358945e+000
6.519605837560353e-004	-1.410101e+000
6.597730837560353e-004	-1.457860e+000
6.675855837560353e-004	-1.502106e+000
6.753980837560353e-004	-1.542734e+000
6.832105837560353e-004	-1.579645e+000
6.910230837560353e-004	-1.612750e+000
6.988355837560354e-004	-1.641971e+000
7.066480837560354e-004	-1.667235e+000
7.144605837560354e-004	-1.688483e+000
7.222730837560354e-004	-1.705663e+000
7.300855837560354e-004	-1.718735e+000
7.378980837560354e-004	-1.727665e+000
7.457105837560354e-004	-1.732434e+000
7.535230837560354e-004	-1.733029e+000
7.613355837560354e-004	-1.729449e+000
7.691480837560354e-004	-1.721702e+000
7.769605837560354e-004	-1.709808e+000
7.847730837560354e-004	-1.693795e+000
7.925855837560354e-004	-1.673701e+000
8.003980837560354e-004	-1.649575e+000
8.082105837560354e-004	-1.621475e+000
8.160230837560355e-004	-1.589469e+000
8.238355837560355e-004	-1.553634e+000
8.316480837560355e-004	-1.514056e+000
8.394605837560355e-004	-1.470831e+000
8.472730837560355e-004	-1.424062e+000
8.550855837560355e-004	-1.373863e+000
8.628980837560355e-004	-1.320353e+000
8.707105837560355e-004	-1.263663e+000
8.785230837560355e-004	-1.203929e+000
8.863355837560355e-004	-1.141294e+000
8.941480837560355e-004	-1.075910e+000
9.019605837560355e-004	-1.007934e+000
9.097730837560355e-004	-9.375299e-001
9.175855837560355e-004	-8.648671e-001
9.253980837560356e-004	-7.901207e-001
9.332105837560356e-004	-7.134708e-001
9.410230837560356e-004	-6.351022e-001
9.488355837560356e-004	-5.552035e-001
9.566480837560356e-004	-4.739673e-001
9.644605837560356e-004	-3.915892e-001
9.722730837560356e-004	-3.082677e-001
9.800855837560356e-004	-2.242036e-001
9.878980837560356e-004	-1.395993e-001
9.957105837560356e-004	-5.465866e-002
1.003523083756036e-003	3.041366e-002
1.011335583756036e-003	1.154127e-001
1.019148083756036e-003	2.001338e-001
1.026960583756036e-003	2.843727e-001
1.034773083756036e-003	3.679266e-001
1.042585583756036e-003	4.505942e-001
1.050398083756036e-003	5.321762e-001
1.058210583756036e-003	6.124762e-001
1.066023083756036e-003	6.913007e-001
1.073835583756036e-003	7.684598e-001
1.081648083756036e-003	8.437676e-001
1.089460583756036e-003	9.170427e-001
1.097273083756036e-003	9.881086e-001
1.105085583756036e-003	1.056794e+000
1.112898083756036e-003	1.122934e+000
1.120710583756036e-003	1.186368e+000
