time	V(n001)	V(n006)
6.862359990676882e-02	-3.007707e+01	3.007707e+01
6.960016240676882e-02	-3.007707e+01	3.007707e+01
7.057672490676882e-02	-3.007707e+01	3.007707e+01
7.155328740676882e-02	-3.007707e+01	3.007707e+01
7.252984990676882e-02	-3.007707e+01	3.007707e+01
7.350641240676882e-02	-3.007707e+01	3.007707e+01
7.412984229280620e-02	-3.007707e+01	3.007707e+01
7.444882081327117e-02	-3.007838e+01	3.007838e+01
7.480333819346553e-02	-3.008327e+01	3.008327e+01
7.485627415101634e-02	-3.008509e+01	3.008509e+01
7.496214606611797e-02	-3.009014e+01	3.009014e+01
7.517388989632122e-02	-3.009765e+01	3.009765e+01
7.558309380461703e-02	-3.010380e+01	3.010380e+01
7.624741687438040e-02	-3.010565e+01	3.010565e+01
7.722397937438040e-02	-3.010565e+01	3.010565e+01
7.820054187438040e-02	-3.010565e+01	3.010565e+01
7.917710437438040e-02	-3.010565e+01	3.010565e+01
8.015366687438040e-02	-3.010565e+01	3.010565e+01
8.113022937438040e-02	-3.010565e+01	3.010565e+01
8.210679187438040e-02	-3.010565e+01	3.010565e+01
8.308335437438040e-02	-3.010565e+01	3.010565e+01
8.405991687438040e-02	-3.010565e+01	3.010565e+01
8.439633272151595e-02	-3.010592e+01	3.010592e+01
8.473978658609256e-02	-3.010754e+01	3.010754e+01
8.520310145370268e-02	-3.011160e+01	3.011160e+01
8.563062728836045e-02	-3.011432e+01	3.011432e+01
8.632427511236439e-02	-3.011537e+01	3.011537e+01
8.730083761236439e-02	-3.011537e+01	3.011537e+01
8.827740011236439e-02	-3.011537e+01	3.011537e+01
8.925396261236439e-02	-3.011537e+01	3.011537e+01
9.023052511236439e-02	-3.011537e+01	3.011537e+01
9.120708761236439e-02	-3.011537e+01	3.011537e+01
9.218365011236439e-02	-3.011537e+01	3.011537e+01
9.316021261236439e-02	-3.011537e+01	3.011537e+01
9.399596906823759e-02	-3.011537e+01	3.011537e+01
9.434848335483990e-02	-3.011541e+01	3.011541e+01
9.468210430714069e-02	-3.011724e+01	3.011724e+01
9.504247025513012e-02	-3.012277e+01	3.012277e+01
9.536915431169903e-02	-3.012728e+01	3.012728e+01
9.590058121720921e-02	-3.012929e+01	3.012929e+01
9.675891410919606e-02	-3.012929e+01	3.012929e+01
9.773547660919606e-02	-3.012929e+01	3.012929e+01
9.871203910919606e-02	-3.012929e+01	3.012929e+01
9.968860160919606e-02	-3.012929e+01	3.012929e+01
1.006651641091961e-01	-3.012929e+01	3.012929e+01
1.016417266091961e-01	-3.012929e+01	3.012929e+01
1.026182891091961e-01	-3.012929e+01	3.012929e+01
1.035948516091961e-01	-3.012929e+01	3.012929e+01
1.041633271454788e-01	-3.012929e+01	3.012929e+01
1.044740137019380e-01	-3.012997e+01	3.012997e+01
1.048339380356812e-01	-3.013258e+01	3.013258e+01
1.048844745963826e-01	-3.013353e+01	3.013353e+01
1.049855477177854e-01	-3.013610e+01	3.013610e+01
1.051876939605909e-01	-3.013955e+01	3.013955e+01
1.055919864462019e-01	-3.014203e+01	3.014203e+01
1.062618020134657e-01	-3.014266e+01	3.014266e+01
1.072383645134657e-01	-3.014266e+01	3.014266e+01
1.082149270134657e-01	-3.014266e+01	3.014266e+01
1.091914895134657e-01	-3.014266e+01	3.014266e+01
1.101680520134657e-01	-3.014266e+01	3.014266e+01
1.111446145134657e-01	-3.014266e+01	3.014266e+01
1.121211770134657e-01	-3.014266e+01	3.014266e+01
1.130977395134657e-01	-3.014266e+01	3.014266e+01
1.139712087755545e-01	-3.014266e+01	3.014266e+01
1.143299971497327e-01	-3.014267e+01	3.014267e+01
1.146598875986482e-01	-3.014378e+01	3.014378e+01
1.149617825697959e-01	-3.014691e+01	3.014691e+01
1.152857947124774e-01	-3.015016e+01	3.015016e+01
1.157651236604191e-01	-3.015161e+01	3.015161e+01
1.165412490054425e-01	-3.015166e+01	3.015166e+01
1.175178115054425e-01	-3.015166e+01	3.015166e+01
1.184943740054425e-01	-3.015166e+01	3.015166e+01
1.194709365054425e-01	-3.015166e+01	3.015166e+01
1.204474990054425e-01	-3.015166e+01	3.015166e+01
1.214240615054425e-01	-3.015166e+01	3.015166e+01
1.224006240054425e-01	-3.015166e+01	3.015166e+01
1.233771865054425e-01	-3.015166e+01	3.015166e+01
1.240804541879112e-01	-3.015166e+01	3.015166e+01
1.244117311313799e-01	-3.015176e+01	3.015176e+01
1.247584015483162e-01	-3.015230e+01	3.015230e+01
1.252100566237269e-01	-3.015359e+01	3.015359e+01
1.252640424607545e-01	-3.015369e+01	3.015369e+01
1.253720141348098e-01	-3.015376e+01	3.015376e+01
1.253990070533235e-01	-3.015377e+01	3.015377e+01
1.254529928903512e-01	-3.015377e+01	3.015377e+01
1.255609645644064e-01	-3.015377e+01	3.015377e+01
1.255879574829202e-01	-3.015377e+01	3.015377e+01
1.256419433199478e-01	-3.015377e+01	3.015377e+01
1.259658583421135e-01	-3.015377e+01	3.015377e+01
1.263977450383344e-01	-3.015377e+01	3.015377e+01
1.272615184307762e-01	-3.015377e+01	3.015377e+01
1.282380809307762e-01	-3.015377e+01	3.015377e+01
1.292146434307762e-01	-3.015377e+01	3.015377e+01
1.301912059307762e-01	-3.015377e+01	3.015377e+01
1.311677684307762e-01	-3.015377e+01	3.015377e+01
1.321443309307762e-01	-3.015377e+01	3.015377e+01
1.331208934307762e-01	-3.015377e+01	3.015377e+01
1.339804104803304e-01	-3.015377e+01	3.015377e+01
