time	V(out)
Step Information: G=10m  (Run: 1/21)
1.227239078040328e-003	-4.161119e-001
1.246770328040327e-003	-4.203268e-001
1.266301578040327e-003	-4.182196e-001
1.285832828040326e-003	-4.098220e-001
1.305364078040326e-003	-3.952602e-001
1.324895328040326e-003	-3.747534e-001
1.344426578040325e-003	-3.486100e-001
1.363957828040325e-003	-3.172231e-001
1.383489078040324e-003	-2.810649e-001
1.403020328040324e-003	-2.406792e-001
1.422551578040324e-003	-1.966735e-001
1.442082828040323e-003	-1.497096e-001
1.461614078040323e-003	-1.004940e-001
1.481145328040322e-003	-4.976684e-002
1.500676578040322e-003	1.708863e-003
1.520207828040321e-003	5.315886e-002
1.539739078040321e-003	1.038093e-001
1.559270328040321e-003	1.528984e-001
1.578801578040320e-003	1.996877e-001
1.598332828040320e-003	2.434735e-001
1.617864078040319e-003	2.835973e-001
1.637395328040319e-003	3.194555e-001
1.656926578040319e-003	3.505087e-001
1.676457828040318e-003	3.762901e-001
1.695989078040318e-003	3.964116e-001
1.715520328040317e-003	4.105708e-001
1.735051578040317e-003	4.185546e-001
1.754582828040316e-003	4.202429e-001
1.774114078040316e-003	4.156104e-001
1.793645328040316e-003	4.047267e-001
1.813176578040315e-003	3.877556e-001
1.832707828040315e-003	3.649523e-001
1.852239078040314e-003	3.366597e-001
1.871770328040314e-003	3.033035e-001
1.891301578040314e-003	2.653852e-001
1.910832828040313e-003	2.234754e-001
1.930364078040313e-003	1.782043e-001
1.949895328040312e-003	1.302528e-001
1.969426578040312e-003	8.034218e-002
1.988957828040312e-003	2.922316e-002
2.013371890540311e-003	-3.520284e-002
2.032903140540311e-003	-8.622064e-002
2.052434390540310e-003	-1.359416e-001
2.071965640540310e-003	-1.836179e-001
2.091496890540309e-003	-2.285324e-001
2.111028140540309e-003	-2.700095e-001
2.130559390540309e-003	-3.074255e-001
2.150090640540308e-003	-3.402175e-001
2.169621890540308e-003	-3.678923e-001
2.189153140540307e-003	-3.900337e-001
2.208684390540307e-003	-4.063086e-001
2.228215640540307e-003	-4.164722e-001
2.247746890540306e-003	-4.203717e-001
2.267278140540306e-003	-4.179484e-001
2.286809390540305e-003	-4.092388e-001
2.306340640540305e-003	-3.943739e-001
2.325871890540304e-003	-3.735772e-001
2.345403140540304e-003	-3.471615e-001
2.364934390540304e-003	-3.155243e-001
2.384465640540303e-003	-2.791412e-001
2.403996890540303e-003	-2.385596e-001
2.423528140540302e-003	-1.943899e-001
2.443059390540302e-003	-1.472963e-001
2.462590640540302e-003	-9.798728e-002
2.482121890540301e-003	-4.720442e-002
2.496770328040301e-003	-8.609066e-003
2.511418765540301e-003	3.005917e-002
2.530950015540300e-003	8.116467e-002
2.550481265540300e-003	1.310494e-001
2.570012515540299e-003	1.789630e-001
2.589543765540299e-003	2.241848e-001
2.609075015540298e-003	2.660347e-001
2.628606265540298e-003	3.038832e-001
2.648137515540298e-003	3.371610e-001
2.667668765540297e-003	3.653676e-001
2.687200015540297e-003	3.880787e-001
2.706731265540296e-003	4.049527e-001
2.726262515540296e-003	4.157359e-001
2.745793765540296e-003	4.202661e-001
2.765325015540295e-003	4.184750e-001
2.784856265540295e-003	4.103897e-001
2.804387515540294e-003	3.961317e-001
2.823918765540294e-003	3.759155e-001
2.843450015540293e-003	3.500453e-001
2.862981265540293e-003	3.189100e-001
2.882512515540293e-003	2.829780e-001
2.902043765540292e-003	2.427898e-001
2.921575015540292e-003	1.989498e-001
2.941106265540291e-003	1.521173e-001
2.960637515540291e-003	1.029969e-001
2.980168765540291e-003	5.232739e-002
2.999700015540290e-003	8.707658e-004
3.019231265540290e-003	-5.059895e-002
3.038762515540289e-003	-1.013076e-001
3.058293765540289e-003	-1.504925e-001
3.077825015540288e-003	-1.974139e-001
3.097356265540288e-003	-2.413659e-001
3.116887515540288e-003	-2.816876e-001
3.136418765540287e-003	-3.177725e-001
3.155950015540287e-003	-3.490777e-001
3.175481265540286e-003	-3.751326e-001
3.195012515540286e-003	-3.955450e-001
3.214543765540286e-003	-4.100081e-001
3.234075015540285e-003	-4.183043e-001
3.253606265540285e-003	-4.203088e-001
3.273137515540284e-003	-4.159915e-001
3.292668765540284e-003	-4.054172e-001
3.312200015540283e-003	-3.887452e-001
3.331731265540283e-003	-3.662260e-001
3.351262515540283e-003	-3.381984e-001
3.370793765540282e-003	-3.050841e-001
3.390325015540282e-003	-2.673810e-001
3.409856265540281e-003	-2.256562e-001
3.429387515540281e-003	-1.805373e-001
3.448918765540281e-003	-1.327030e-001
3.468450015540280e-003	-8.287275e-002
3.487981265540280e-003	-3.179598e-002
3.512395328040279e-003	3.263162e-002
3.531926578040279e-003	8.369423e-002
3.551457828040278e-003	1.334980e-001
3.570989078040278e-003	1.812939e-001
3.590520328040278e-003	2.263629e-001
3.610051578040277e-003	2.680272e-001
3.629582828040277e-003	3.056601e-001
3.649114078040276e-003	3.386956e-001
3.668645328040276e-003	3.666369e-001
3.688176578040275e-003	3.890635e-001
3.707707828040275e-003	4.056383e-001
3.727239078040275e-003	4.161119e-001
3.746770328040274e-003	4.203268e-001
3.766301578040274e-003	4.182196e-001
3.785832828040273e-003	4.098220e-001
3.805364078040273e-003	3.952602e-001
3.824895328040273e-003	3.747534e-001
3.844426578040272e-003	3.486100e-001
3.863957828040272e-003	3.172231e-001
3.883489078040271e-003	2.810649e-001
3.903020328040271e-003	2.406792e-001
3.922551578040271e-003	1.966735e-001
3.942082828040270e-003	1.497096e-001
3.961614078040270e-003	1.004940e-001
3.981145328040270e-003	4.976684e-002
4.000676578040269e-003	-1.708863e-003
4.020207828040269e-003	-5.315886e-002
4.039739078040268e-003	-1.038093e-001
4.059270328040268e-003	-1.528984e-001
4.078801578040268e-003	-1.996877e-001
4.098332828040267e-003	-2.434735e-001
4.117864078040267e-003	-2.835973e-001
4.137395328040266e-003	-3.194555e-001
4.156926578040266e-003	-3.505087e-001
4.176457828040265e-003	-3.762901e-001
4.195989078040265e-003	-3.964116e-001
4.215520328040265e-003	-4.105708e-001
4.235051578040264e-003	-4.185546e-001
4.254582828040264e-003	-4.202429e-001
4.274114078040263e-003	-4.156104e-001
4.293645328040263e-003	-4.047267e-001
4.313176578040263e-003	-3.877556e-001
4.332707828040262e-003	-3.649523e-001
4.352239078040262e-003	-3.366597e-001
4.371770328040261e-003	-3.033035e-001
4.391301578040261e-003	-2.653852e-001
4.410832828040260e-003	-2.234754e-001
4.430364078040260e-003	-1.782043e-001
4.449895328040260e-003	-1.302528e-001
4.469426578040259e-003	-8.034218e-002
4.488957828040259e-003	-2.922316e-002
4.513371890540258e-003	3.520284e-002
4.532903140540258e-003	8.622064e-002
4.552434390540257e-003	1.359416e-001
4.571965640540257e-003	1.836179e-001
4.591496890540257e-003	2.285324e-001
4.611028140540256e-003	2.700095e-001
4.630559390540256e-003	3.074255e-001
4.650090640540255e-003	3.402175e-001
4.669621890540255e-003	3.678923e-001
4.689153140540255e-003	3.900337e-001
4.708684390540254e-003	4.063086e-001
4.728215640540254e-003	4.164722e-001
4.747746890540253e-003	4.203717e-001
4.767278140540253e-003	4.179484e-001
4.786809390540252e-003	4.092388e-001
4.806340640540252e-003	3.943739e-001
