Freq.	Vline_out	Vriaa   Vriaa_isolated
1.90546071796325e+000	4.72886672364491e+001	2.93841435350832e+001   2.94962123393022e+001
1.94984459975804e+000	4.74862852534243e+001	2.95817615520590e+001   2.96938303563738e+001
1.99526231496888e+000	4.76838119000241e+001	2.97792881986594e+001   2.98913570030754e+001
2.04173794466953e+000	4.78812420561229e+001	2.99767183547588e+001   3.00887871592805e+001
2.08929613085404e+000	4.80785704086911e+001	3.01740467073276e+001   3.02861155119561e+001
2.13796208950223e+000	4.82757914416347e+001	3.03712677402720e+001   3.04833365450180e+001
2.18776162394955e+000	4.84728994253604e+001	3.05683757239984e+001   3.06804445288647e+001
2.23872113856834e+000	4.86698884059522e+001	3.07653647045910e+001   3.08774335095835e+001
2.29086765276777e+000	4.88667521940149e+001	3.09622284926545e+001   3.10742972977791e+001
2.34422881531992e+000	4.90634843531717e+001	3.11589606518122e+001   3.12710294570725e+001
2.39883291901949e+000	4.92600781881476e+001	3.13555544867889e+001   3.14676232921934e+001
2.45470891568503e+000	4.94565267325032e+001	3.15520030311454e+001   3.16640718366974e+001
2.51188643150958e+000	4.96528227359392e+001	3.17482990345824e+001   3.18603678402929e+001
2.57039578276886e+000	4.98489586512123e+001	3.19444349498565e+001   3.20565037557331e+001
2.63026799189538e+000	5.00449266206237e+001	3.21404029192690e+001   3.22524717253162e+001
2.69153480392691e+000	5.02407184620620e+001	3.23361947607084e+001   3.24482635669333e+001
2.75422870333816e+000	5.04363256546408e+001	3.25318019532884e+001   3.26438707597038e+001
2.81838293126445e+000	5.06317393238505e+001	3.27272156224993e+001   3.28392844291091e+001
2.88403150312660e+000	5.08269502262804e+001	3.29224265249304e+001   3.30344953317463e+001
2.95120922666638e+000	5.10219487338714e+001	3.31174250325228e+001   3.32294938395505e+001
3.01995172040201e+000	5.12167248176953e+001	3.33122011163481e+001   3.34242699236000e+001
3.09029543251359e+000	5.14112680312799e+001	3.35067443299341e+001   3.36188131374210e+001
3.16227766016837e+000	5.16055674934395e+001	3.37010437920952e+001   3.38131125998238e+001
3.23593656929628e+000	5.17996118706431e+001	3.38950881693005e+001   3.40071569772853e+001
3.31131121482591e+000	5.19933893589218e+001	3.40888656575809e+001   3.42009344658292e+001
3.38844156139202e+000	5.21868876652743e+001	3.42823639639351e+001   3.43944327724607e+001
3.46736850452531e+000	5.23800939886426e+001	3.44755702873053e+001   3.45876390961204e+001
3.54813389233575e+000	5.25729950004081e+001	3.46684712990727e+001   3.47805401081910e+001
3.63078054770101e+000	5.27655768244561e+001	3.48610531231227e+001   3.49731219325542e+001
3.71535229097172e+000	5.29578250167946e+001	3.50533013154633e+001   3.51653701252262e+001
3.80189396320560e+000	5.31497245447823e+001	3.52452008434532e+001   3.53572696535591e+001
3.89045144994280e+000	5.33412597659267e+001	3.54367360646000e+001   3.55488048750603e+001
3.98107170553496e+000	5.35324144063464e+001	3.56278907050221e+001   3.57399595158578e+001
4.07380277804112e+000	5.37231715388794e+001	3.58186478375576e+001   3.59307166487836e+001
4.16869383470335e+000	5.39135135608793e+001	3.60089898595602e+001   3.61210586711929e+001
4.26579518801592e+000	5.41034221717470e+001	3.61988984704307e+001   3.63109672824838e+001
4.36515832240165e+000	5.42928783502325e+001	3.63883546489191e+001   3.65004234614114e+001
4.46683592150962e+000	5.44818623315706e+001	3.65773386302602e+001   3.66894074432116e+001
4.57088189614874e+000	5.46703535844743e+001	3.67658298831672e+001   3.68778986965963e+001
4.67735141287197e+000	5.48583307880856e+001	3.69538070867819e+001   3.70658759007074e+001
4.78630092322637e+000	5.50457718089190e+001	3.71412481076188e+001   3.72533169220617e+001
4.89778819368445e+000	5.52326536778885e+001	3.73281299765919e+001   3.74401987915754e+001
5.01187233627271e+000	5.54189525675076e+001	3.75144288662149e+001   3.76264976817594e+001
5.12861383991364e+000	5.56046437693135e+001	3.77001200680249e+001   3.78121888841526e+001
